id	distance	primary_breed	secondary_breed	is_mixed_breed	primary_color	age	sex	size	coat_length	name	description	primary_photo_url	photo_urls	adoption_status	attributes	special_needs_notes	good_with_children	good_with_dogs	good_with_cats	good_with_other_animals	public_adoption_fee	adoption_fee_waived	organization	label
10117075	798.2767136484331	"Shepherd"	"Labrador Retriever"	true	null	"Adult"	"Male"	"Medium"	null	"Tigereye"	"&lt;p&gt;Lovely gem with a nice temperament.\u00a0 Likes to play in water hose and with other dogs.\u00a0 Been a shelter dog his whole life and would love a family of his own.\u00a0 Loving boy.&lt;\/p&gt;\n&lt;p&gt;Tigereye is current on vaccinations, heartworm prevention, neutered.\u00a0 Est. DOB: 11\/22\/07.&lt;br \/&gt;&lt;strong&gt;Click &lt;a href=&quot;http:\/\/www.dogsrus.org\/bios.htm&quot;&gt;&lt;em&gt;here&lt;\/em&gt;&lt;\/a&gt; to complete the adoption questionnaire (link at the top of the page) and email it to: &lt;a href=&quot;mailto:kim@dogsrus.org&quot;&gt;kim@dogsrus.org&lt;\/a&gt;&lt;\/strong&gt;&lt;\/p&gt;\n&lt;p&gt;Visit our &lt;a href=&quot;http:\/\/www.dogsrus.org&quot;&gt;Website&lt;\/a&gt;&lt;a&gt; for more information about our shelter, adoption policies, and procedures.&lt;\/a&gt;&lt;\/p&gt;\n&lt;p&gt;\u00a0&lt;\/p&gt;"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/10117075\/1\/?bust=1495847928"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/10117075\/1\/?bust=1495847928","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/10117075\/2\/?bust=1495847928"	"adoptable"	"Spay\/Neuter","Shots Current"	null	null	null	null	null	null	false	Las Lomas K9 Rescue &amp; Adoption Foundation	not-adopted
10143232	798.2767136484331	"Labrador Retriever"	"Vizsla"	true	null	"Adult"	"Female"	"Medium"	null	"Emerald"	"&lt;p&gt;Emerald is a pretty mixed breed girl with stunning eyes. She is a medium size, only weighs about 30 pounds.\u00a0 Emerald was adopted and returned as a small puppy because it  was discovered that she was born with a genetic defect.  She has no ball and sockets in her hips.  She went to our vet for an  evaluation.  She is in no pain and plays and runs like a normal dog.\u00a0   Some dogs who are born with this condition live their entire lives pain free without surgery.  She isn&#039;t on any medication and is a happy go lucky dog.     She loves to play and is a very sweet and gentle dog.&lt;\/p&gt;\n&lt;p&gt;Spayed, current on vaccs, heartworm prevention. Est. DOB 11\/22\/07.&lt;\/p&gt;\n&lt;p&gt;&lt;br \/&gt;&lt;strong&gt;Click &lt;a href=&quot;http:\/\/www.dogsrus.org\/bios.htm&quot;&gt;&lt;em&gt;here&lt;\/em&gt;&lt;\/a&gt; to complete the adoption questionnaire (link at the top of the page) and email it to: &lt;a href=&quot;mailto:kim@dogsrus.org&quot;&gt;kim@dogsrus.org&lt;\/a&gt;&lt;\/strong&gt;&lt;\/p&gt;\n&lt;p&gt;Visit our &lt;a href=&quot;http:\/\/www.dogsrus.org&quot;&gt;Website&lt;\/a&gt;&lt;a&gt; for more information about our shelter, adoption policies, and procedures.&lt;\/a&gt;&lt;\/p&gt;\n&lt;p&gt;\u00a0&lt;\/p&gt;"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/10143232\/1\/?bust=1495847928"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/10143232\/1\/?bust=1495847928","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/10143232\/2\/?bust=1495847928","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/10143232\/3\/?bust=1495847928"	"adoptable"	"Spay\/Neuter","Shots Current"	null	null	null	null	null	null	false	Las Lomas K9 Rescue &amp; Adoption Foundation	not-adopted
10373435	767.1800974247384	"Treeing Walker Coonhound"	"null"	true	null	"Young"	"Male"	"Large"	null	"Chester"	"&lt;P&gt;Chester is a &quot;bonus&quot; dog.  One of our volunteers went to a central Texas shelter to pick up two Black &amp; Tan Coonhounds, and, while he was there, was asked whether he&#039;d like to check out a Walker Hound that had been there for a month.  We didn&#039;t have room, but took him anyway, with the help of Texas Alaskan Malamute Rescue, which kept him for the first few weeks.&lt;\/P&gt;\n&lt;P&gt;Chester arrived very depressed, but soon perked up and began to want to play with the Malamutes.  Since coming to Etosha he has a new best buddy, a Black &amp; Tan Coonhound.&lt;\/P&gt;\n&lt;P&gt;Chester has one of the sweetest dispositions you&#039;ll find.  He loves everyone, human or dog (cats unknown), and is less noisy than the typical Coonhound.  Chester is heartworm negative, neutered, and current on all vaccinations.&lt;\/P&gt;\n\n&lt;br&gt;&lt;br&gt;&lt;br&gt;&lt;font color=&quot;purple&quot;&gt;&lt;a href=&quot;http:\/\/www.etosha-rescue.org\/&quot;&gt;ETOSHA WEBSITE HOME PAGE&lt;\/a&gt;&lt;br&gt;&lt;br&gt;&lt;a href=&quot;http:\/\/www.etosha-rescue.org\/adoption_application.html&quot;&gt;Adoption Application&lt;\/a&gt;&lt;br&gt;There are many ways you can help. &lt;br&gt;Click &lt;a href=&quot;http:\/\/www.etosha-rescue.org\/wish_list.html&quot;&gt;HERE&lt;\/a&gt; to find out how.&lt;\/font&gt;&lt;br&gt;\n"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/10373435\/1\/?bust=1291034096"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/10373435\/1\/?bust=1291034096","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/10373435\/2\/?bust=1291034096","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/10373435\/3\/?bust=1291034096"	"adoptable"	"Spay\/Neuter","Shots Current"	null	null	null	null	null	null	false	Etosha Rescue and Adoption Center	not-adopted
11591809	798.2767136484331	"Hound"	"Terrier"	true	null	"Adult"	"Male"	"Medium"	null	"Slick"	"&lt;p&gt;Slick and his brother Sly who has been adopted were living in a culvert. They  were skinny, hungry, and filthy dirty.\u00a0 Today they have gained weight and are  healthy dogs.\u00a0 They get along well with other dogs.\u00a0 Slick is lonely now that  his brother has been adopted, wouldn&#039;t you like to give him a loving forever  home? Est. DOB 11\/30\/07.&lt;\/p&gt;\n&lt;p&gt;&lt;strong&gt;Click &lt;a href=&quot;http:\/\/www.dogsrus.org\/bios.htm&quot;&gt;&lt;em&gt;here&lt;\/em&gt;&lt;\/a&gt; to complete the adoption questionnaire (link at the top of the page) and email it to: &lt;a href=&quot;mailto:kim@dogsrus.org&quot;&gt;kim@dogsrus.org&lt;\/a&gt;&lt;\/strong&gt;&lt;\/p&gt;\n&lt;p&gt;Visit our &lt;a href=&quot;http:\/\/www.dogsrus.org&quot;&gt;Website&lt;\/a&gt;&lt;a&gt; for more information about our shelter, adoption policies, and procedures.&lt;\/a&gt;&lt;\/p&gt;\n&lt;p&gt;\u00a0&lt;\/p&gt;"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11591809\/1\/?bust=1495847928"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11591809\/1\/?bust=1495847928"	"adoptable"	"Spay\/Neuter","Shots Current"	null	null	null	null	null	null	false	Las Lomas K9 Rescue &amp; Adoption Foundation	not-adopted
11600329	798.2767136484331	"Shepherd"	"Yellow Labrador Retriever"	true	null	"Adult"	"Female"	"Large"	null	"Little Angel"	"&lt;p&gt;ANGEL SMILES 4 U.  Angel is a very sweet, pretty golden\/red coated girl.  She was a little shy not having been exposed to much outside of her shelter upbringing, but she has warmed up quickly and has a nice, easy-going, friendly temperament.  She really seems to love her sister and roommate, Hailey, and would enjoy a home with another doggy companion.  Angel is a darling girl just waiting for that kind-hearted person to come along and make her a part of a home and family.  She has not grown up around kids, so we recommend only homes with older, dog-friendly kids.  She may be okay with cats, but again, we&#039;ve only seen her around other dogs, which she loves. :)   Angel is ready to learn about living life as a family, house-pet, and in return, you will have a sweet Angel to watch over you.&lt;\/p&gt;\n&lt;p&gt;&lt;strong&gt;Click &lt;a href=&quot;http:\/\/www.dogsrus.org\/bios.htm&quot;&gt;&lt;em&gt;here&lt;\/em&gt;&lt;\/a&gt; to complete the adoption questionnaire (link at the top of the page) and email it to: &lt;a href=&quot;mailto:kim@dogsrus.org&quot;&gt;kim@dogsrus.org&lt;\/a&gt;&lt;\/strong&gt;&lt;\/p&gt;\n&lt;p&gt;Visit our &lt;a href=&quot;http:\/\/www.dogsrus.org&quot;&gt;Website&lt;\/a&gt;&lt;a&gt; for more information about our shelter, adoption policies, and procedures.&lt;\/a&gt;&lt;\/p&gt;\n&lt;p&gt;\u00a0&lt;\/p&gt;"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11600329\/3\/?bust=1495847928"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11600329\/3\/?bust=1495847928","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11600329\/1\/?bust=1495847928","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11600329\/2\/?bust=1495847928"	"adoptable"	"Spay\/Neuter","Shots Current"	null	null	null	null	null	null	false	Las Lomas K9 Rescue &amp; Adoption Foundation	not-adopted
11600338	798.2767136484331	"Labrador Retriever"	"null"	true	null	"Adult"	"Female"	"Medium"	null	"Daisey"	"Est. DOB 6\/1\/05.Click here to complete the adoption questionnaire (link at the top of the page) and email it to: kim@dogsrus.org\nVisit our Website for more information about our shelter, adoption policies, and procedures.\n\u00a0"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11600338\/1\/?bust=1495847928"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11600338\/1\/?bust=1495847928","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11600338\/2\/?bust=1495847928"	"adoptable"	"Spay\/Neuter","Shots Current"	null	null	null	null	null	null	false	Las Lomas K9 Rescue &amp; Adoption Foundation	not-adopted
11798982	798.2767136484331	"Labrador Retriever"	"Retriever"	true	null	"Adult"	"Female"	"Medium"	null	"CheZ"	"&lt;p&gt;What kind of dog am I?  A loving, sweet, and gentle kind!  I was dumped off at a McDonalds on Loop 1604.  I was there for a month and one day a bunch of kids were throwing rocks and things at me.  That made me feel really sad.  But a nice man who was eating a cheeseburger witnessed it all and was able to save me before I got hurt.  The tech at the vet named me Che Z since my savior was eating a cheeseburger when he saw me!  He said he just couldn&#039;t resist that look in my eyes.  I hope to find a home as kind and loving as me :)&lt;\/p&gt;\n&lt;p&gt;Est. DOB 1\/27\/08. Spayed, current on vaccs and heartworm prevention.\u00a0 &lt;strong&gt;Click &lt;a href=&quot;http:\/\/www.dogsrus.org\/bios.htm&quot;&gt;&lt;em&gt;here&lt;\/em&gt;&lt;\/a&gt; to complete the adoption questionnaire (link at the top of the page) and email it to: &lt;a href=&quot;mailto:kim@dogsrus.org&quot;&gt;kim@dogsrus.org&lt;\/a&gt;&lt;\/strong&gt;&lt;\/p&gt;\n&lt;p&gt;Visit our &lt;a href=&quot;http:\/\/www.dogsrus.org&quot;&gt;Website&lt;\/a&gt;&lt;a&gt; for more information about our shelter, adoption policies, and procedures.&lt;\/a&gt;&lt;\/p&gt;\n&lt;p&gt;\u00a0&lt;\/p&gt;"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11798982\/3\/?bust=1495847928"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11798982\/3\/?bust=1495847928","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11798982\/2\/?bust=1495847928","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/11798982\/1\/?bust=1495847928"	"adoptable"	"Spay\/Neuter","Shots Current"	null	null	null	null	null	null	false	Las Lomas K9 Rescue &amp; Adoption Foundation	not-adopted
12211986	798.2767136484331	"American Staffordshire Terrier"	"null"	true	null	"Adult"	"Male"	"Medium"	null	"Bailey Boy"	"&lt;p&gt;SAD DOG NEEDS NEW HOME!!  My family vowed to take me with them if they ever moved because I was part of the family, protected the kids from harm and played with them, but when it came time for them to move, they didn&#039;t keep their word and left me behind!! I have been in two different fosters homes now and it isn&#039;t the same. I am really sad and lonely and missing my family so much. I had two small children for my friends and I loved them a lot. I wonder if they will remember me when they grow up, and wonder what happened to me? I will never forget about them but it would help me to heal if I could find another family to love. The foster family I have been with for the last 6 months are doing their best, but I really need a home of my own.  I am very strong, but very sweet. I prefer to be the only pet in the home because I want all of the attention. I really miss sleeping with the kids at night and playing with them during the day. I am a high energy dog that will need daily exercise such as walks. I would be a great companion for a walker or a jogger. I would also be a good candidate for someone interested in agility training because I am very intelligent. I am also well behaved in the house.  &lt;br \/&gt;&lt;br \/&gt;BAILEY - American Staffordshire Terrier Mix - Neutered  Estimated Date of Birth: 18 November 2006&lt;\/p&gt;\n&lt;p&gt;&lt;strong&gt;Click &lt;a href=&quot;http:\/\/www.dogsrus.org\/bios.htm&quot;&gt;&lt;em&gt;here&lt;\/em&gt;&lt;\/a&gt; to complete the adoption questionnaire (link at the top of the page) and email it to: &lt;a href=&quot;mailto:kim@dogsrus.org&quot;&gt;kim@dogsrus.org&lt;\/a&gt;&lt;\/strong&gt;&lt;\/p&gt;\n&lt;p&gt;Visit our &lt;a href=&quot;http:\/\/www.dogsrus.org&quot;&gt;Website&lt;\/a&gt;&lt;a&gt; for more information about our shelter, adoption policies, and procedures.&lt;\/a&gt;&lt;\/p&gt;\n&lt;p&gt;\u00a0&lt;\/p&gt;"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/12211986\/1\/?bust=1495847928"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/12211986\/1\/?bust=1495847928","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/12211986\/2\/?bust=1495847928","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/12211986\/3\/?bust=1495847928"	"adoptable"	"House trained","Spay\/Neuter","Shots Current"	null	null	null	false	null	null	false	Las Lomas K9 Rescue &amp; Adoption Foundation	not-adopted
13340379	655.5770922945218	"American Staffordshire Terrier"	"null"	true	null	"Adult"	"Male"	"Large"	null	"Doc"	"Doc is a neutered male.  He is current on all shots.  Very skiddish around people because he and his sister were abandoned in a van in the hot Texas heat. Must go with litter-mate, Emma. They are very bonded to each other. Contact us at 979-280-0505 to find out more information on this wonderful animal."	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/13340379\/2\/?bust=1379503542"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/13340379\/2\/?bust=1379503542","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/13340379\/3\/?bust=1291034096","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/13340379\/1\/?bust=1343317310"	"adoptable"	"Spay\/Neuter","Shots Current"	null	false	null	null	null	null	false	Handfuls on Purpose \/ HOPE	not-adopted
13340380	655.5770922945218	"Pit Bull Terrier"	"null"	true	null	"Adult"	"Female"	"Large"	null	"Emma"	"Emma is a spayed female.  She is current on all shots.  Very skiddish around people because she and her brother were abandoned in a van in the hot Texas heat. Must go with litter-mate, Doc. They are very bonded to each other. Contact us at 979-280-0505 to find out more information on this wonderful animal."	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/13340380\/1\/?bust=1291034096"	"https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/13340380\/1\/?bust=1291034096","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/13340380\/2\/?bust=1378656710","https:\/\/dl5zpyw5k3jeb.cloudfront.net\/photos\/pets\/13340380\/3\/?bust=1363535158"	"adoptable"	"Spay\/Neuter","Special needs","Shots Current"	null	false	null	null	null	null	false	Handfuls on Purpose \/ HOPE	not-adopted
